Pais;Grupo quinquenal de edad;Sexo;Periodo;Poblacion
Ecuador;Todas las edades;Total;1 de enero de 2023;430837
Ecuador;Todas las edades;Hombres;1 de enero de 2023;200136
Ecuador;Todas las edades;Mujeres;1 de enero de 2023;230701
Paraguay;Todas las edades;Total;1 de enero de 2023;127767
Paraguay;Todas las edades;Hombres;1 de enero de 2023;42221
Paraguay;Todas las edades;Mujeres;1 de enero de 2023;85546
Peru;Todas las edades;Total;1 de enero de 2023;322407
Peru;Todas las edades;Hombres;1 de enero de 2023;141215
Peru;Todas las edades;Mujeres;1 de enero de 2023;181192
Uruguay;Todas las edades;Total;1 de enero de 2023;86620
Uruguay;Todas las edades;Hombres;1 de enero de 2023;42960
Uruguay;Todas las edades;Mujeres;1 de enero de 2023;43660
Venezuela;Todas las edades;Total;1 de enero de 2023;518918
Venezuela;Todas las edades;Hombres;1 de enero de 2023;236333
Venezuela;Todas las edades;Mujeres;1 de enero de 2023;282585
Otro pais de Sudamerica;Todas las edades;Total;1 de enero de 2023;339
Otro pais de Sudamerica;Todas las edades;Hombres;1 de enero de 2023;160
Otro pais de Sudamerica;Todas las edades;Mujeres;1 de enero de 2023;179
Asia;Todas las edades;Total;1 de enero de 2023;534877
Asia;Todas las edades;Hombres;1 de enero de 2023;288173
Asia;Todas las edades;Mujeres;1 de enero de 2023;246704
Bangladesh;Todas las edades;Total;1 de enero de 2023;19162
Bangladesh;Todas las edades;Hombres;1 de enero de 2023;13561
Bangladesh;Todas las edades;Mujeres;1 de enero de 2023;5601
China;Todas las edades;Total;1 de enero de 2023;192346
China;Todas las edades;Hombres;1 de enero de 2023;88740
China;Todas las edades;Mujeres;1 de enero de 2023;103606
Filipinas;Todas las edades;Total;1 de enero de 2023;54807
Filipinas;Todas las edades;Hombres;1 de enero de 2023;19336
Filipinas;Todas las edades;Mujeres;1 de enero de 2023;35471
India;Todas las edades;Total;1 de enero de 2023;60679
India;Todas las edades;Hombres;1 de enero de 2023;37032
India;Todas las edades;Mujeres;1 de enero de 2023;23647
Pakistan;Todas las edades;Total;1 de enero de 2023;114693
Pakistan;Todas las edades;Hombres;1 de enero de 2023;81398
Pakistan;Todas las edades;Mujeres;1 de enero de 2023;33295
Otro pais de Asia;Todas las edades;Total;1 de enero de 2023;93190
Otro pais de Asia;Todas las edades;Hombres;1 de enero de 2023;48106
Otro pais de Asia;Todas las edades;Mujeres;1 de enero de 2023;45084
Oceania;Todas las edades;Total;1 de enero de 2023;9590
Oceania;Todas las edades;Hombres;1 de enero de 2023;5192
Oceania;Todas las edades;Mujeres;1 de enero de 2023;4398
Extranjera;Todas las edades;Total;1 de enero de 2023;8204206
Extranjera;Todas las edades;Hombres;1 de enero de 2023;3968053
Extranjera;Todas las edades;Mujeres;1 de enero de 2023;4236153
